Index,Formula,Decomposition Energy,Band Gap,K,Rb,Cs,MA,FA,Ca,Sr,Ba,Ge,Sn,Pb,Cl,Br,I,A_ion_rad,A_BP,A_MP,A_dens,A_at_wt,A_EA,A_IE,A_hof,A_hov,A_En,A_at_num,A_period,B_ion_rad,B_BP,B_MP,B_dens,B_at_wt,B_EA,B_IE,B_hof,B_hov,B_En,B_at_num,B_period,X_ion_rad,X_BP,X_MP,X_dens,X_at_wt,X_EA,X_IE,X_hof,X_hov,X_En,X_at_num,X_period
392,K0.38MA0.62Ba1Br3,0.20194524,4.1003,0.375,0,0,0.625,0,0,0,1,0,0,0,0,1,0,1.9225,554.25,239.425,0.76,34.7243625,23.56,735.8,4.705,43.775,1.90125,52.75,5.875,1.42,2078,1002,3.59,137.33,-52,502.9,8.01,140.2,0.89,56,6,1.96,331.85,265.95,3.12,79.904,324.6,1139.9,5.286,14.725,2.96,35,4
393,K0.5Rb0.12Cs0.38Ge1Br3,-0.23189651,1.907,0.5,0.125,0.375,0,0,0,0,0,1,0,0,0,1,0,1.60875,990.625,320.55625,1.32275,80.07215,47.1,400.6625,2.242,72.5025,0.80875,34.75,4.875,0.53,3107,1211.5,5.32,72.61,120,762.1,31.8,334.3,2.01,32,4,1.96,331.85,265.95,3.12,79.904,324.6,1139.9,5.286,14.725,2.96,35,4
394,FA1Ba0.12Pb0.88I3,0.150395732,2.1047,0,0,0,0,1,0,0,0.125,0,0,0.875,0,0,1,2.53,319,354,1.1,45.1,8.6,849,6.5,29,2.57,91,8,1.21875,2029.875,650.81875,10.38,198.46625,89.75,688.925,5.175,173.1875,2.15,78.75,6,2.2,457.5,386.7,4.93,126.9045,295.3,1008.4,7.76,20.9,2.66,53,5
395,K0.38Rb0.12Cs0.12FA0.38Ge1I3,0.06951424,1.7685,0.375,0.125,0.125,0,0.375,0,0,0,1,0,0,0,0,1,1.93375,745.125,335.82125,1.16025,58.8710125,32.9075,572.7625,3.86525,56.83,1.4725,52.75,5.875,0.53,3107,1211.5,5.32,72.61,120,762.1,31.8,334.3,2.01,32,4,2.2,457.5,386.7,4.93,126.9045,295.3,1008.4,7.76,20.9,2.66,53,5
396,Rb1Sr0.25Ba0.25Sn0.12Pb0.38Br3,0.219631236,3.1495,0,1,0,0,0,0,0.25,0.25,0,0.125,0.375,0,1,0,1.61,961,312.63,1.532,85.4678,46.89,403,2.34,69.2,0.82,37,5,1.205,2051.375,799.38375,6.7025,148.77625,1.375,619.9875,6.74125,172.28375,1.57875,60.5,5.625,1.96,331.85,265.95,3.12,79.904,324.6,1139.9,5.286,14.725,2.96,35,4
397,FA1Ca0.5Sr0.5Cl3,0.222212731,4.4654,0,0,0,0,1,0.5,0.5,0,0,0,0,1,0,0,2.53,319,354,1.1,45.1,8.6,849,6.5,29,2.57,91,8,1.13,1706,1077,2.045,63.849,-162,569.65,8.365,145.785,0.975,29,4.5,1.81,239.18,172.17,3.214,35.4527,348.8,1251.1,3.21,10.2,3.16,17,3
398,MA1Ba1I3,0.071606854,3.7733,0,0,0,1,0,0,0,1,0,0,0,0,0,1,2.17,267,181,0.7,32.1,8.68,926,6.13,23.9,2.55,73,7,1.42,2078,1002,3.59,137.33,-52,502.9,8.01,140.2,0.89,56,6,2.2,457.5,386.7,4.93,126.9045,295.3,1008.4,7.76,20.9,2.66,53,5
399,FA1Ca0.5Ge0.5Br3,0.034532798,3.3655,0,0,0,0,1,0.5,0,0,0.5,0,0,0,1,0,2.53,319,354,1.1,45.1,8.6,849,6.5,29,2.57,91,8,0.765,2432,1161.75,3.435,56.344,-18,675.95,20.165,244.485,1.505,26,4,1.96,331.85,265.95,3.12,79.904,324.6,1139.9,5.286,14.725,2.96,35,4
400,K0.75Cs0.25Sn1I3,0.130947691,0.4117,0.75,0,0.25,0,0,0,0,0,0,1,0,0,0,1,1.5675,1010.75,327.985,1.1125,62.550075,47.6425,408.025,2.2705,74.61,0.8125,28,4.5,0.71,2876,505.12,7.31,118.71,121,708.6,7.2,290.37,1.96,50,5,2.2,457.5,386.7,4.93,126.9045,295.3,1008.4,7.76,20.9,2.66,53,5
401,MA1Ba1Cl1.88Br1.12,0.174724658,4.5746,0,0,0,1,0,0,0,1,0,0,0,0.625,0.375,0,2.17,267,181,0.7,32.1,8.68,926,6.13,23.9,2.55,73,7,1.42,2078,1002,3.59,137.33,-52,502.9,8.01,140.2,0.89,56,6,1.86625,273.93125,207.3375,3.17875,52.1219375,339.725,1209.4,3.9885,11.896875,3.085,23.75,3.375
402,MA1Ba0.62Pb0.38I3,0.089566752,3.0673,0,0,0,1,0,0,0,0.625,0,0,0.375,0,0,1,2.17,267,181,0.7,32.1,8.68,926,6.13,23.9,2.55,73,7,1.33375,2057.375,851.49375,6.5,163.53125,8.75,582.625,6.795,154.3375,1.43,65.75,6,2.2,457.5,386.7,4.93,126.9045,295.3,1008.4,7.76,20.9,2.66,53,5
403,K0.25Rb0.38Cs0.38Ba1Cl3,0.564719314,4.3637,0.25,0.375,0.375,0,0,0,0,1,0,0,0,1,0,0,1.63375,972.625,314.51375,1.49075,91.664525,46.7325,396.7125,2.2445,70.5775,0.80875,39.25,5.125,1.42,2078,1002,3.59,137.33,-52,502.9,8.01,140.2,0.89,56,6,1.81,239.18,172.17,3.214,35.4527,348.8,1251.1,3.21,10.2,3.16,17,3
404,K0.25Rb0.25Cs0.12MA0.38Pb1I3,0.07396361,1.7347,0.25,0.25,0.125,0.375,0,0,0,0,0,0,1,0,0,1,1.81125,716.625,267.925,1.09425,59.7922,32.75375,599.6625,3.72775,53.955,1.465,48.25,5.625,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.2,457.5,386.7,4.93,126.9045,295.3,1008.4,7.76,20.9,2.66,53,5
405,Rb1Ba1Br3,0.53395147,3.7235,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1.61,961,312.63,1.532,85.4678,46.89,403,2.34,69.2,0.82,37,5,1.42,2078,1002,3.59,137.33,-52,502.9,8.01,140.2,0.89,56,6,1.96,331.85,265.95,3.12,79.904,324.6,1139.9,5.286,14.725,2.96,35,4
406,K0.38Cs0.62Sr1I3,0.182974783,3.3895,0.375,0,0.625,0,0,0,1,0,0,0,0,0,0,1,1.65375,977.375,314.7625,1.49125,97.7277375,46.56625,391.8625,2.18125,71.175,0.80125,41.5,5.25,1.26,1655,1042,2.54,87.62,-168,549.5,8.2,136.9,0.95,38,5,2.2,457.5,386.7,4.93,126.9045,295.3,1008.4,7.76,20.9,2.66,53,5
407,K1Sn1Cl2.62Br0.38,0.135605847,0.7914,1,0,0,0,0,0,0,0,0,1,0,0.875,0.125,0,1.51,1033,336.8,0.86,39.0983,48.36,418.8,2.33,76.9,0.82,19,4,0.71,2876,505.12,7.31,118.71,121,708.6,7.2,290.37,1.96,50,5,1.82875,250.76375,183.8925,3.20225,41.0091125,345.775,1237.2,3.4695,10.765625,3.135,19.25,3.125
408,Rb1Pb1Br0.38I2.62,0.249378626,1.4495,0,1,0,0,0,0,0,0,0,0,1,0,0.125,0.875,1.61,961,312.63,1.532,85.4678,46.89,403,2.34,69.2,0.82,37,5,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.17,441.79375,371.60625,4.70375,121.0294375,298.9625,1024.8375,7.45075,20.128125,2.6975,50.75,4.875
409,FA1Ba1Cl3,0.177341619,4.5605,0,0,0,0,1,0,0,1,0,0,0,1,0,0,2.53,319,354,1.1,45.1,8.6,849,6.5,29,2.57,91,8,1.42,2078,1002,3.59,137.33,-52,502.9,8.01,140.2,0.89,56,6,1.81,239.18,172.17,3.214,35.4527,348.8,1251.1,3.21,10.2,3.16,17,3
410,K1Pb1Br3,0.287429124,1.7427,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1.51,1033,336.8,0.86,39.0983,48.36,418.8,2.33,76.9,0.82,19,4,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,1.96,331.85,265.95,3.12,79.904,324.6,1139.9,5.286,14.725,2.96,35,4
411,Rb1Ca0.38Ge0.12Pb0.5Br3,0.007963465,2.2081,0,1,0,0,0,0.375,0,0,0.125,0,0.5,0,1,0,1.61,961,312.63,1.532,85.4678,46.89,403,2.34,69.2,0.82,37,5,1.03625,2058.75,868.7625,6.92125,127.7055,11.5,674.1875,9.55875,188.73875,1.79125,52.5,5,1.96,331.85,265.95,3.12,79.904,324.6,1139.9,5.286,14.725,2.96,35,4
412,K0.38Rb0.12MA0.5Ca1I3,0.165859771,3.6349,0.375,0.125,0,0.5,0,1,0,0,0,0,0,0,0,1,1.8525,641,255.87875,0.864,41.3953375,28.33625,670.425,4.23125,49.4375,1.685,48.25,5.625,1,1757,1112,1.55,40.078,-156,589.8,8.53,154.67,1,20,4,2.2,457.5,386.7,4.93,126.9045,295.3,1008.4,7.76,20.9,2.66,53,5
413,Rb0.5MA0.5Ca1Cl3,-0.099611903,5.0697,0,0.5,0,0.5,0,1,0,0,0,0,0,1,0,0,1.89,614,246.815,1.116,58.7839,27.785,664.5,4.235,46.55,1.685,55,6,1,1757,1112,1.55,40.078,-156,589.8,8.53,154.67,1,20,4,1.81,239.18,172.17,3.214,35.4527,348.8,1251.1,3.21,10.2,3.16,17,3
414,K0.25Cs0.12FA0.62Ba1I3,0.176539628,3.3432,0.25,0,0.125,0,0.625,0,0,1,0,0,0,0,0,1,2.17625,575.625,343.1425,1.13625,54.57525,23.15125,682.2875,4.9065,45.8175,1.91,68.5,6.75,1.42,2078,1002,3.59,137.33,-52,502.9,8.01,140.2,0.89,56,6,2.2,457.5,386.7,4.93,126.9045,295.3,1008.4,7.76,20.9,2.66,53,5
415,MA1Ge0.12Pb0.88Cl1.5Br1.5,-0.207273954,2.1799,0,0,0,1,0,0,0,0,0.125,0,0.875,0.5,0.5,0,2.17,267,181,0.7,32.1,8.68,926,6.13,23.9,2.55,73,7,1.1075,2158.5,677.00625,10.59625,190.37625,111.25,721.325,8.14875,197.45,2.29,75.75,5.75,1.885,285.515,219.06,3.167,57.67835,336.7,1195.5,4.248,12.4625,3.06,26,3.5
416,Rb1Ca1I3,0.224936451,3.4409,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1.61,961,312.63,1.532,85.4678,46.89,403,2.34,69.2,0.82,37,5,1,1757,1112,1.55,40.078,-156,589.8,8.53,154.67,1,20,4,2.2,457.5,386.7,4.93,126.9045,295.3,1008.4,7.76,20.9,2.66,53,5
417,Rb1Ba1Cl2.25I0.75,0.224240353,3.9294,0,1,0,0,0,0,0,1,0,0,0,0.75,0,0.25,1.61,961,312.63,1.532,85.4678,46.89,403,2.34,69.2,0.82,37,5,1.42,2078,1002,3.59,137.33,-52,502.9,8.01,140.2,0.89,56,6,1.9075,293.76,225.8025,3.643,58.31565,335.425,1190.425,4.3475,12.875,3.035,26,3.5
418,Cs1Ba0.62Pb0.38I3,0.219548945,3.1368,0,0,1,0,0,0,0,0.625,0,0,0.375,0,0,1,1.74,944,301.54,1.87,132.9054,45.49,375.7,2.092,67.74,0.79,55,6,1.33375,2057.375,851.49375,6.5,163.53125,8.75,582.625,6.795,154.3375,1.43,65.75,6,2.2,457.5,386.7,4.93,126.9045,295.3,1008.4,7.76,20.9,2.66,53,5
419,MA1Sr1Cl3,-0.004018384,5.1062,0,0,0,1,0,0,1,0,0,0,0,1,0,0,2.17,267,181,0.7,32.1,8.68,926,6.13,23.9,2.55,73,7,1.26,1655,1042,2.54,87.62,-168,549.5,8.2,136.9,0.95,38,5,1.81,239.18,172.17,3.214,35.4527,348.8,1251.1,3.21,10.2,3.16,17,3
420,K0.38Cs0.12FA0.5Ge1Cl3,-0.415090928,3.1453,0.375,0,0.125,0,0.5,0,0,0,1,0,0,1,0,0,2.04875,664.875,340.9925,1.10625,53.8250375,28.12125,628.5125,4.38525,51.805,1.69125,59.5,6.25,0.53,3107,1211.5,5.32,72.61,120,762.1,31.8,334.3,2.01,32,4,1.81,239.18,172.17,3.214,35.4527,348.8,1251.1,3.21,10.2,3.16,17,3
421,MA1Ba0.38Pb0.62I3,0.076159496,2.276,0,0,0,1,0,0,0,0.375,0,0,0.625,0,0,1,2.17,267,181,0.7,32.1,8.68,926,6.13,23.9,2.55,73,7,1.27625,2043.625,751.15625,8.44,180.99875,49.25,635.775,5.985,163.7625,1.79,72.25,6,2.2,457.5,386.7,4.93,126.9045,295.3,1008.4,7.76,20.9,2.66,53,5
422,MA1Sn0.12Pb0.88Cl3,-0.191515929,2.2092,0,0,0,1,0,0,0,0,0,0.125,0.875,1,0,0,2.17,267,181,0.7,32.1,8.68,926,6.13,23.9,2.55,73,7,1.13,2129.625,588.70875,10.845,196.13875,111.375,714.6375,5.07375,191.95875,2.28375,78,5.875,1.81,239.18,172.17,3.214,35.4527,348.8,1251.1,3.21,10.2,3.16,17,3
423,K0.25Rb0.38Cs0.38Sn1Cl3,-0.153192268,0.9403,0.25,0.375,0.375,0,0,0,0,0,0,1,0,1,0,0,1.63375,972.625,314.51375,1.49075,91.664525,46.7325,396.7125,2.2445,70.5775,0.80875,39.25,5.125,0.71,2876,505.12,7.31,118.71,121,708.6,7.2,290.37,1.96,50,5,1.81,239.18,172.17,3.214,35.4527,348.8,1251.1,3.21,10.2,3.16,17,3
424,K0.12FA0.88Sn1Cl3,-0.134641087,3.1388,0.125,0,0,0,0.875,0,0,0,0,1,0,1,0,0,2.4025,408.25,351.85,1.07,44.3497875,13.57,795.225,5.97875,34.9875,2.35125,82,7.5,0.71,2876,505.12,7.31,118.71,121,708.6,7.2,290.37,1.96,50,5,1.81,239.18,172.17,3.214,35.4527,348.8,1251.1,3.21,10.2,3.16,17,3
425,FA1Ge1Br0.75I2.25,-0.052393795,1.9339,0,0,0,0,1,0,0,0,1,0,0,0,0.25,0.75,2.53,319,354,1.1,45.1,8.6,849,6.5,29,2.57,91,8,0.53,3107,1211.5,5.32,72.61,120,762.1,31.8,334.3,2.01,32,4,2.14,426.0875,356.5125,4.4775,115.154375,302.625,1041.275,7.1415,19.35625,2.735,48.5,4.75
426,K1Sr1Cl3,0.425575504,4.4181,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1.51,1033,336.8,0.86,39.0983,48.36,418.8,2.33,76.9,0.82,19,4,1.26,1655,1042,2.54,87.62,-168,549.5,8.2,136.9,0.95,38,5,1.81,239.18,172.17,3.214,35.4527,348.8,1251.1,3.21,10.2,3.16,17,3
427,K0.25Rb0.25FA0.5Sr1I3,-0.01739373,3.6359,0.25,0.25,0,0,0.5,0,1,0,0,0,0,0,0,1,2.045,658,339.3575,1.148,53.691525,28.1125,629.95,4.4175,51.025,1.695,59.5,6.25,1.26,1655,1042,2.54,87.62,-168,549.5,8.2,136.9,0.95,38,5,2.2,457.5,386.7,4.93,126.9045,295.3,1008.4,7.76,20.9,2.66,53,5
428,MA1Ba1Br3,0.131118645,4.2396,0,0,0,1,0,0,0,1,0,0,0,0,1,0,2.17,267,181,0.7,32.1,8.68,926,6.13,23.9,2.55,73,7,1.42,2078,1002,3.59,137.33,-52,502.9,8.01,140.2,0.89,56,6,1.96,331.85,265.95,3.12,79.904,324.6,1139.9,5.286,14.725,2.96,35,4
429,K0.38Rb0.12Cs0.12MA0.38Pb1I3,0.079779409,1.8246,0.375,0.125,0.125,0.375,0,0,0,0,0,0,1,0,0,1,1.79875,725.625,270.94625,1.01025,53.9960125,32.9375,601.6375,3.7265,54.9175,1.465,46,5.5,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.2,457.5,386.7,4.93,126.9045,295.3,1008.4,7.76,20.9,2.66,53,5
430,FA1Ba0.12Ge0.62Sn0.25Cl3,-0.196772281,2.9247,0,0,0,0,1,0,0,0.125,0.625,0.25,0,1,0,0,2.53,319,354,1.1,45.1,8.6,849,6.5,29,2.57,91,8,0.68625,2920.625,1008.7175,5.60125,92.225,98.75,716.325,22.67625,299.055,1.8575,39.5,4.5,1.81,239.18,172.17,3.214,35.4527,348.8,1251.1,3.21,10.2,3.16,17,3
431,MA1Ca0.12Ge0.38Sn0.5Cl3,-0.272953376,2.0432,0,0,0,1,0,0.125,0,0,0.375,0.5,0,1,0,0,2.17,267,181,0.7,32.1,8.68,926,6.13,23.9,2.55,73,7,0.67875,2822.75,845.8725,5.84375,91.5935,86,713.8125,16.59125,289.88125,1.85875,39.5,4.5,1.81,239.18,172.17,3.214,35.4527,348.8,1251.1,3.21,10.2,3.16,17,3
432,Rb1Ge0.75Sn0.12Pb0.12I3,0.155065276,0.5448,0,1,0,0,0,0,0,0,0.75,0.125,0.125,0,0,1,1.61,961,312.63,1.532,85.4678,46.89,403,2.34,69.2,0.82,37,5,0.635,2942.625,1046.84625,6.3225,95.19625,118.875,749.5875,25.34625,309.25875,2.04375,40.5,4.375,2.2,457.5,386.7,4.93,126.9045,295.3,1008.4,7.76,20.9,2.66,53,5
433,K1Ca0.38Sr0.12Ba0.12Ge0.12Sn0.12Pb0.12Cl3,0.293559591,3.345,1,0,0,0,0,0.375,0.125,0.125,0.125,0.125,0.125,1,0,0,1.51,1033,336.8,0.86,39.0983,48.36,418.8,2.33,76.9,0.82,19,4,1.01375,2126.25,962.15875,4.345,92.963,-42.125,626,10.69625,192.96,1.3925,39.75,4.75,1.81,239.18,172.17,3.214,35.4527,348.8,1251.1,3.21,10.2,3.16,17,3
434,Rb1Ca0.12Ba0.62Ge0.12Sn0.12Cl3,0.426089539,3.1408,0,1,0,0,0,0.125,0,0.625,0.125,0.125,0,1,0,0,1.61,961,312.63,1.532,85.4678,46.89,403,2.34,69.2,0.82,37,5,1.1675,2266.25,979.8275,4.01625,114.756,-21.875,571.875,10.9475,185.0425,1.1775,47.75,5.375,1.81,239.18,172.17,3.214,35.4527,348.8,1251.1,3.21,10.2,3.16,17,3
435,MA1Sr0.12Pb0.88Cl1.5Br1.5,-0.171325232,2.4682,0,0,0,1,0,0,0.125,0,0,0,0.875,0.5,0.5,0,2.17,267,181,0.7,32.1,8.68,926,6.13,23.9,2.55,73,7,1.19875,1977,655.81875,10.24875,192.2525,75.25,694.75,5.19875,172.775,2.1575,76.5,5.875,1.885,285.515,219.06,3.167,57.67835,336.7,1195.5,4.248,12.4625,3.06,26,3.5
436,FA1Ca0.5Sn0.5Cl3,0.025975891,3.7942,0,0,0,0,1,0.5,0,0,0,0.5,0,1,0,0,2.53,319,354,1.1,45.1,8.6,849,6.5,29,2.57,91,8,0.855,2316.5,808.56,4.43,79.394,-17.5,649.2,7.865,222.52,1.48,35,4.5,1.81,239.18,172.17,3.214,35.4527,348.8,1251.1,3.21,10.2,3.16,17,3
437,MA1Ca0.12Pb0.88Br3,-0.141154496,2.1448,0,0,0,1,0,0.125,0,0,0,0,0.875,0,1,0,2.17,267,181,0.7,32.1,8.68,926,6.13,23.9,2.55,73,7,1.16625,1989.75,664.56875,10.125,186.30975,76.75,699.7875,5.24,174.99625,2.16375,74.25,5.75,1.96,331.85,265.95,3.12,79.904,324.6,1139.9,5.286,14.725,2.96,35,4
438,Cs1Ba0.38Pb0.62I3,0.175913765,2.2825,0,0,1,0,0,0,0,0.375,0,0,0.625,0,0,1,1.74,944,301.54,1.87,132.9054,45.49,375.7,2.092,67.74,0.79,55,6,1.27625,2043.625,751.15625,8.44,180.99875,49.25,635.775,5.985,163.7625,1.79,72.25,6,2.2,457.5,386.7,4.93,126.9045,295.3,1008.4,7.76,20.9,2.66,53,5
439,FA1Sn1Br0.75I2.25,-0.199873497,1.5283,0,0,0,0,1,0,0,0,0,1,0,0,0.25,0.75,2.53,319,354,1.1,45.1,8.6,849,6.5,29,2.57,91,8,0.71,2876,505.12,7.31,118.71,121,708.6,7.2,290.37,1.96,50,5,2.14,426.0875,356.5125,4.4775,115.154375,302.625,1041.275,7.1415,19.35625,2.735,48.5,4.75
440,K1Ca0.25Sr0.12Ge0.25Pb0.38I3,0.469513344,1.5433,1,0,0,0,0,0.25,0.125,0,0.25,0,0.375,0,0,1,1.51,1033,336.8,0.86,39.0983,48.36,418.8,2.33,76.9,0.82,19,4,0.98625,2181.5,936.36875,6.29125,116.8245,11.25,674.975,12.89625,206.0675,1.745,48.5,4.875,2.2,457.5,386.7,4.93,126.9045,295.3,1008.4,7.76,20.9,2.66,53,5
441,FA1Sr0.38Ba0.12Pb0.5Br3,0.123544494,3.6298,0,0,0,0,1,0,0.375,0.125,0,0,0.5,0,1,0,2.53,319,354,1.1,45.1,8.6,849,6.5,29,2.57,91,8,1.245,1891.875,816.325,7.07625,153.62375,-14.5,626.675,6.46125,157.8125,1.6325,62.25,5.625,1.96,331.85,265.95,3.12,79.904,324.6,1139.9,5.286,14.725,2.96,35,4
442,FA1Ba0.38Pb0.62I3,0.102740818,2.2902,0,0,0,0,1,0,0,0.375,0,0,0.625,0,0,1,2.53,319,354,1.1,45.1,8.6,849,6.5,29,2.57,91,8,1.27625,2043.625,751.15625,8.44,180.99875,49.25,635.775,5.985,163.7625,1.79,72.25,6,2.2,457.5,386.7,4.93,126.9045,295.3,1008.4,7.76,20.9,2.66,53,5
443,Cs0.25FA0.75Pb1I3,0.030054688,1.7111,0,0,0.25,0,0.75,0,0,0,0,0,1,0,0,1,2.3325,475.25,340.885,1.2925,67.05135,17.8225,730.675,5.398,38.685,2.125,82,7.5,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.2,457.5,386.7,4.93,126.9045,295.3,1008.4,7.76,20.9,2.66,53,5
444,Cs1Sn1Br1.12I1.88,-0.191599535,0.5474,0,0,1,0,0,0,0,0,0,1,0,0,0.375,0.625,1.74,944,301.54,1.87,132.9054,45.49,375.7,2.092,67.74,0.79,55,6,0.71,2876,505.12,7.31,118.71,121,708.6,7.2,290.37,1.96,50,5,2.11,410.38125,341.41875,4.25125,109.2793125,306.2875,1057.7125,6.83225,18.584375,2.7725,46.25,4.625
445,K0.12Rb0.25Cs0.62Sn1I3,-0.135142912,0.6674,0.125,0.25,0.625,0,0,0,0,0,0,1,0,0,0,1,1.67875,959.375,308.72,1.65925,109.3201125,46.19875,387.9125,2.18375,69.25,0.80125,46,5.5,0.71,2876,505.12,7.31,118.71,121,708.6,7.2,290.37,1.96,50,5,2.2,457.5,386.7,4.93,126.9045,295.3,1008.4,7.76,20.9,2.66,53,5
446,Cs1Ba1Cl1.88I1.12,0.183709032,3.6034,0,0,1,0,0,0,0,1,0,0,0,0.625,0,0.375,1.74,944,301.54,1.87,132.9054,45.49,375.7,2.092,67.74,0.79,55,6,1.42,2078,1002,3.59,137.33,-52,502.9,8.01,140.2,0.89,56,6,1.95625,321.05,252.61875,3.8575,69.747125,328.7375,1160.0875,4.91625,14.2125,2.9725,30.5,3.75
447,Rb1Ba0.5Sn0.5I3,0.333034027,2.9118,0,1,0,0,0,0,0,0.5,0,0.5,0,0,0,1,1.61,961,312.63,1.532,85.4678,46.89,403,2.34,69.2,0.82,37,5,1.065,2477,753.56,5.45,128.02,34.5,605.75,7.605,215.285,1.425,53,5.5,2.2,457.5,386.7,4.93,126.9045,295.3,1008.4,7.76,20.9,2.66,53,5
448,K0.75Rb0.12Cs0.12Pb1Cl3,0.196802573,2.182,0.75,0.125,0.125,0,0,0,0,0,0,0,1,1,0,0,1.55125,1012.875,329.37125,1.07025,56.620375,47.8175,411.4375,2.3015,74.7925,0.81625,25.75,4.375,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,1.81,239.18,172.17,3.214,35.4527,348.8,1251.1,3.21,10.2,3.16,17,3
449,K0.25Rb0.12Cs0.12MA0.5Sr1I3,0.061258473,3.6137,0.25,0.125,0.125,0.5,0,0,1,0,0,0,0,0,0,1,1.88125,629.875,251.47125,0.99025,53.121225,27.9775,665.0375,4.2015,48.2925,1.68125,52.75,5.875,1.26,1655,1042,2.54,87.62,-168,549.5,8.2,136.9,0.95,38,5,2.2,457.5,386.7,4.93,126.9045,295.3,1008.4,7.76,20.9,2.66,53,5
450,FA1Sr0.5Ba0.5Cl3,0.31002022,4.3123,0,0,0,0,1,0,0.5,0.5,0,0,0,1,0,0,2.53,319,354,1.1,45.1,8.6,849,6.5,29,2.57,91,8,1.34,1866.5,1022,3.065,112.475,-110,526.2,8.105,138.55,0.92,47,5.5,1.81,239.18,172.17,3.214,35.4527,348.8,1251.1,3.21,10.2,3.16,17,3
451,FA1Ba1Br3,0.064898806,4.0246,0,0,0,0,1,0,0,1,0,0,0,0,1,0,2.53,319,354,1.1,45.1,8.6,849,6.5,29,2.57,91,8,1.42,2078,1002,3.59,137.33,-52,502.9,8.01,140.2,0.89,56,6,1.96,331.85,265.95,3.12,79.904,324.6,1139.9,5.286,14.725,2.96,35,4
452,FA1Ca1Br1.5I1.5,0.097462794,3.5408,0,0,0,0,1,1,0,0,0,0,0,0,0.5,0.5,2.53,319,354,1.1,45.1,8.6,849,6.5,29,2.57,91,8,1,1757,1112,1.55,40.078,-156,589.8,8.53,154.67,1,20,4,2.08,394.675,326.325,4.025,103.40425,309.95,1074.15,6.523,17.8125,2.81,44,4.5
453,Rb0.12Cs0.88Ca1Br3,-0.206461746,4.3077,0,0.125,0.875,0,0,1,0,0,0,0,0,0,1,0,1.72375,946.125,302.92625,1.82775,126.9757,45.665,379.1125,2.123,67.9225,0.79375,52.75,5.875,1,1757,1112,1.55,40.078,-156,589.8,8.53,154.67,1,20,4,1.96,331.85,265.95,3.12,79.904,324.6,1139.9,5.286,14.725,2.96,35,4
454,Rb1Ca1Cl2.25I0.75,-0.004286517,4.2518,0,1,0,0,0,1,0,0,0,0,0,0.75,0,0.25,1.61,961,312.63,1.532,85.4678,46.89,403,2.34,69.2,0.82,37,5,1,1757,1112,1.55,40.078,-156,589.8,8.53,154.67,1,20,4,1.9075,293.76,225.8025,3.643,58.31565,335.425,1190.425,4.3475,12.875,3.035,26,3.5
455,Rb1Sn0.12Pb0.88Br3,0.032579931,1.5279,0,1,0,0,0,0,0,0,0,0.125,0.875,0,1,0,1.61,961,312.63,1.532,85.4678,46.89,403,2.34,69.2,0.82,37,5,1.13,2129.625,588.70875,10.845,196.13875,111.375,714.6375,5.07375,191.95875,2.28375,78,5.875,1.96,331.85,265.95,3.12,79.904,324.6,1139.9,5.286,14.725,2.96,35,4
456,Rb1Ba0.75Sn0.25Cl3,0.484233058,3.2857,0,1,0,0,0,0,0,0.75,0,0.25,0,1,0,0,1.61,961,312.63,1.532,85.4678,46.89,403,2.34,69.2,0.82,37,5,1.2425,2277.5,877.78,4.52,132.675,-8.75,554.325,7.8075,177.7425,1.1575,54.5,5.75,1.81,239.18,172.17,3.214,35.4527,348.8,1251.1,3.21,10.2,3.16,17,3
457,MA1Ca1Cl3,-0.057924364,5.2498,0,0,0,1,0,1,0,0,0,0,0,1,0,0,2.17,267,181,0.7,32.1,8.68,926,6.13,23.9,2.55,73,7,1,1757,1112,1.55,40.078,-156,589.8,8.53,154.67,1,20,4,1.81,239.18,172.17,3.214,35.4527,348.8,1251.1,3.21,10.2,3.16,17,3
458,K1Pb1Br1.88I1.12,0.384139935,1.4797,1,0,0,0,0,0,0,0,0,0,1,0,0.625,0.375,1.51,1033,336.8,0.86,39.0983,48.36,418.8,2.33,76.9,0.82,19,4,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.05,378.96875,311.23125,3.79875,97.5291875,313.6125,1090.5875,6.21375,17.040625,2.8475,41.75,4.375
