Index,Formula,Decomposition Energy,Band Gap,K,Rb,Cs,MA,FA,Ca,Sr,Ba,Ge,Sn,Pb,Cl,Br,I,A_ion_rad,A_BP,A_MP,A_dens,A_at_wt,A_EA,A_IE,A_hof,A_hov,A_En,A_at_num,A_period,B_ion_rad,B_BP,B_MP,B_dens,B_at_wt,B_EA,B_IE,B_hof,B_hov,B_En,B_at_num,B_period,X_ion_rad,X_BP,X_MP,X_dens,X_at_wt,X_EA,X_IE,X_hof,X_hov,X_En,X_at_num,X_period
345,Rb1Ca1Cl1.88I1.12,0.099945982,3.5244,0,1,0,0,0,1,0,0,0,0,0,0.625,0,0.375,1.61,961,312.63,1.532,85.4678,46.89,403,2.34,69.2,0.82,37,5,1,1757,1112,1.55,40.078,-156,589.8,8.53,154.67,1,20,4,1.95625,321.05,252.61875,3.8575,69.747125,328.7375,1160.0875,4.91625,14.2125,2.9725,30.5,3.75
346,Cs1Ca1Br2.25I0.75,-0.125905546,4.0256,0,0,1,0,0,1,0,0,0,0,0,0,0.75,0.25,1.74,944,301.54,1.87,132.9054,45.49,375.7,2.092,67.74,0.79,55,6,1,1757,1112,1.55,40.078,-156,589.8,8.53,154.67,1,20,4,2.02,363.2625,296.1375,3.5725,91.654125,317.275,1107.025,5.9045,16.26875,2.885,39.5,4.25
347,Cs1Ca0.5Ge0.25Sn0.12Pb0.12Br3,-0.181695233,3.116,0,0,1,0,0,0.5,0,0,0.25,0.125,0.125,0,1,0,1.74,944,301.54,1.87,132.9054,45.49,375.7,2.092,67.74,0.79,55,6,0.87,2267.625,997.09625,4.4375,78.93025,-19.125,663.4375,13.71125,219.44375,1.53875,34.5,4.375,1.96,331.85,265.95,3.12,79.904,324.6,1139.9,5.286,14.725,2.96,35,4
348,FA1Sn1Cl2.62I0.38,-0.277585155,2.5766,0,0,0,0,1,0,0,0,0,1,0,0.875,0,0.125,2.53,319,354,1.1,45.1,8.6,849,6.5,29,2.57,91,8,0.71,2876,505.12,7.31,118.71,121,708.6,7.2,290.37,1.96,50,5,1.85875,266.47,198.98625,3.4285,46.884175,342.1125,1220.7625,3.77875,11.5375,3.0975,21.5,3.25
349,MA1Sn1Cl2.62Br0.38,-0.263928272,2.1146,0,0,0,1,0,0,0,0,0,1,0,0.875,0.125,0,2.17,267,181,0.7,32.1,8.68,926,6.13,23.9,2.55,73,7,0.71,2876,505.12,7.31,118.71,121,708.6,7.2,290.37,1.96,50,5,1.82875,250.76375,183.8925,3.20225,41.0091125,345.775,1237.2,3.4695,10.765625,3.135,19.25,3.125
350,MA1Ca0.25Sr0.25Ba0.12Pb0.38Br3,-0.071660101,3.6615,0,0,0,1,0,0.25,0.25,0.125,0,0,0.375,0,1,0,2.17,267,181,0.7,32.1,8.68,926,6.13,23.9,2.55,73,7,1.18875,1871.375,888.99375,5.7275,126.79075,-46.25,616,6.9725,157.13,1.4725,52.25,5.25,1.96,331.85,265.95,3.12,79.904,324.6,1139.9,5.286,14.725,2.96,35,4
351,K0.38Rb0.12Cs0.12MA0.38Ge1Cl3,-0.363426634,2.0019,0.375,0.125,0.125,0.375,0,0,0,0,1,0,0,1,0,0,1.79875,725.625,270.94625,1.01025,53.9960125,32.9375,601.6375,3.7265,54.9175,1.465,46,5.5,0.53,3107,1211.5,5.32,72.61,120,762.1,31.8,334.3,2.01,32,4,1.81,239.18,172.17,3.214,35.4527,348.8,1251.1,3.21,10.2,3.16,17,3
352,Rb1Ca1Cl1.12I1.88,0.074607292,3.7725,0,1,0,0,0,1,0,0,0,0,0,0.375,0,0.625,1.61,961,312.63,1.532,85.4678,46.89,403,2.34,69.2,0.82,37,5,1,1757,1112,1.55,40.078,-156,589.8,8.53,154.67,1,20,4,2.05375,375.63,306.25125,4.2865,92.610075,315.3625,1099.4125,6.05375,16.8875,2.8475,39.5,4.25
353,K1Ca1Cl1.12Br1.88,0.14473443,4.0165,1,0,0,0,0,1,0,0,0,0,0,0.375,0.625,0,1.51,1033,336.8,0.86,39.0983,48.36,418.8,2.33,76.9,0.82,19,4,1,1757,1112,1.55,40.078,-156,589.8,8.53,154.67,1,20,4,1.90375,297.09875,230.7825,3.15525,63.2347625,333.675,1181.6,4.5075,13.028125,3.035,28.25,3.625
354,K0.25Rb0.25Cs0.12MA0.38Ca1I3,0.134441991,3.6391,0.25,0.25,0.125,0.375,0,1,0,0,0,0,0,0,0,1,1.81125,716.625,267.925,1.09425,59.7922,32.75375,599.6625,3.72775,53.955,1.465,48.25,5.625,1,1757,1112,1.55,40.078,-156,589.8,8.53,154.67,1,20,4,2.2,457.5,386.7,4.93,126.9045,295.3,1008.4,7.76,20.9,2.66,53,5
355,K0.62Cs0.38Ge1Cl3,-0.254325336,0.9582,0.625,0,0.375,0,0,0,0,0,1,0,0,1,0,0,1.59625,999.625,323.5775,1.23875,74.2759625,47.28375,402.6375,2.24075,73.465,0.80875,32.5,4.75,0.53,3107,1211.5,5.32,72.61,120,762.1,31.8,334.3,2.01,32,4,1.81,239.18,172.17,3.214,35.4527,348.8,1251.1,3.21,10.2,3.16,17,3
356,K0.38Rb0.12FA0.5Sr1I3,0.117195682,3.4525,0.375,0.125,0,0,0.5,0,1,0,0,0,0,0,0,1,2.0325,667,342.37875,1.064,47.8953375,28.29625,631.925,4.41625,51.9875,1.695,57.25,6.125,1.26,1655,1042,2.54,87.62,-168,549.5,8.2,136.9,0.95,38,5,2.2,457.5,386.7,4.93,126.9045,295.3,1008.4,7.76,20.9,2.66,53,5
357,FA1Ba1I3,0.170694252,3.2052,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2.53,319,354,1.1,45.1,8.6,849,6.5,29,2.57,91,8,1.42,2078,1002,3.59,137.33,-52,502.9,8.01,140.2,0.89,56,6,2.2,457.5,386.7,4.93,126.9045,295.3,1008.4,7.76,20.9,2.66,53,5
